Type,Number of videos posted,Channel Name,Total Engagement (Likes + Comments),,,,,,
ZKSync,15,SAGE AIRDROPS,521310,,,,,,
ZKSync,15,Triple D | Der DeFi Dude,87670,,,,,,
Arbitrum,14,Altcoin Buzz,283470,,,,,,
Arbitrum,14,ilme aalim,310476,,,,,,
Optimism,14,SK Tricks,1130650,,,,,,
Polyhedra,14,Krypto Cove,3141900,,,,,,
Starknet,14,Digital Asset Land,413590,,,,,,
Taiko,14,affilionWEB3,232720,,,,,,
Taiko,14,Airdrop Aa Gaya,61860,,,,,,
Taiko,14,SGR Crypto ( Airdrops),14230,,,,,,
ZKSync,14,Airdrop Detective,1258870,,,,,,
ZKSync,14,AllThingsEVM,79880,,,,,,
ZKSync,14,AmjadOnlineYT,43500,,,,,,
ZKSync,14,AZK Crypto Degen,85450,,,,,,
ZKSync,14,BOSS OFFICIAL,33580,,,,,,
ZKSync,14,Breakout Crypto,245690,,,,,,
ZKSync,14,CRYPTO DROP VN,163980,,,,,,
ZKSync,14,Crypto Ferma,199850,,,,,,
ZKSync,14,Crypto Gossip,107310,,,,,,
ZKSync,14,CRYPTUS,6903150,,,,,,
ZKSync,14,Digital Cache Lab🧪,17450,,,,,,
ZKSync,14,DubDigital,18070,,,,,,
ZKSync,14,Earning Tricks 2.0,31960,,,,,,
ZKSync,14,EverythingAltcoin,150670,,,,,,
ZKSync,14,FIP Crypto,265340,,,,,,
ZKSync,14,HODLerka,348410,,,,,,
ZKSync,14,Infinity Loot,96040,,,,,,
ZKSync,14,Journal du Coin,818850,,,,,,
ZKSync,14,OGcryptoverse,61220,,,,,,
ZKSync,14,Santi López | Inversión en Criptomonedas,213990,,,,,,
ZKSync,14,U_Crypto HINDI,317160,,,,,,
ZKSync,14,VIPCRYPTO ZONE,24900,,,,,,
ZKSync,14,Vira Invest,335260,,,,,,
ZKSync,14,Vusi Designer,428250,,,,,,
ZKSync,14,єКрипта,228300,,,,,,
ZKSync,14,幣圈阿晨-投研频道,756470,,,,,,
Arbitrum,13,John5 CRIPTO 💰,85102,,,,,,
Celestia,13,CryptoHindi,900800,,,,,,
Celestia,13,UloggersTV,39730,,,,,,
Starknet,13,Bit Hustle,92410,,,,,,
Starknet,13,crypto-hunter,199210,,,,,,
Starknet,13,HZK Crypto,196230,,,,,,
Taiko,13,Krypto Cove,2262580,,,,,,
Taiko,13,Rodrigo Moura Crypto,676580,,,,,,
ZKSync,13,786 Airdrop Zone,82020,,,,,,
ZKSync,13,Airdrop huntrz,10930,,,,,,
ZKSync,13,Airdrop Tech BD (ATB),23030,,,,,,
ZKSync,13,Crypto Pratik,136700,,,,,,
ZKSync,13,Crypto Squad,295250,,,,,,
ZKSync,13,Cryptoverse,218370,,,,,,
ZKSync,13,Dapp University,2613500,,,,,,
ZKSync,13,deLarg0,258930,,,,,,
ZKSync,13,Indian Crypto Guide,90990,,,,,,
ZKSync,13,Masked uncle (maskeli amca),233960,,,,,,
ZKSync,13,MaykanInvest,729630,,,,,,
ZKSync,13,Mundo Crypto,268400,,,,,,
ZKSync,13,Outlier,51180,,,,,,
Celestia,12,Altcoin Buzz,1246700,,,,,,
Celestia,12,Crypto World Daily,3990,,,,,,
Taiko,12,CryptoCrush,83880,,,,,,
Taiko,12,Youtuber chuhan,87450,,,,,,
ZKSync,12,A2Z Crypto,3480,,,,,,
ZKSync,12,Adnan G&C,122570,,,,,,
ZKSync,12,AirDropHunter,178710,,,,,,
ZKSync,12,Andre Greystone Channel,203210,,,,,,
ZKSync,12,brabo das criptos,15530,,,,,,
ZKSync,12,Buscando Assimetria,284110,,,,,,
ZKSync,12,Chico Crypto,4338990,,,,,,
ZKSync,12,Coin68 TV,248430,,,,,,
ZKSync,12,Conor Kenny,1897400,,,,,,
ZKSync,12,Crypto Bikash Airdrop🪂,211860,,,,,,
ZKSync,12,Crypto Pesto,60900,,,,,,
ZKSync,12,Crypto Priyadarshan,38050,,,,,,
ZKSync,12,CRYPTO SCHOOL,43940,,,,,,
ZKSync,12,CryptoMMO,367360,,,,,,
ZKSync,12,CryptoStream Live,312900,,,,,,
ZKSync,12,Decentralised News,291420,,,,,,
ZKSync,12,Dev Ops,35370,,,,,,
ZKSync,12,Diego | IntusCripto,132180,,,,,,
ZKSync,12,Dmytro Kraivskyi | Cryptonit,590150,,,,,,
ZKSync,12,Earn Together,15000,,,,,,
ZKSync,12,Earning Teach BD,16950,,,,,,
ZKSync,12,Ethio Online Job  | ኢትዮ ኦንላይን ስራ,426090,,,,,,
ZKSync,12,Income Website24,38010,,,,,,
ZKSync,12,Javier Sierra,210370,,,,,,
ZKSync,12,Kelby Tirtabudi,218590,,,,,,
ZKSync,12,Krypto Inwestycje,143910,,,,,,
ZKSync,12,LenTv Vlog,175900,,,,,,
ZKSync,12,Maskelixalo,60060,,,,,,
ZKSync,12,MOBILE MINING AIRDROP,34500,,,,,,
ZKSync,12,Mr Crypto | مستر كريبتو,681910,,,,,,
ZKSync,12,Mr Money,138360,,,,,,
ZKSync,12,Natyk Crypto,102450,,,,,,
ZKSync,12,ProMint,1688150,,,,,,
ZKSync,12,Renan Jorio - Desbravador Crypto,315150,,,,,,
ZKSync,12,Sri Lanka E - money,562580,,,,,,
ZKSync,12,The Blockchain Report,37300,,,,,,
ZKSync,12,The Daily Gwei,706040,,,,,,
ZKSync,12,Touch SHAJID KHAN 5M,75160,,,,,,
ZKSync,12,TradeCoinVN,364770,,,,,,
ZKSync,12,КРИПТОРЕЛАКС,276990,,,,,,
ZKSync,12,Хедлайнеры | Никита Ануфриев,2305980,,,,,,
ZKSync,12,잼민123,524070,,,,,,
Arbitrum,11,Airdrop Alert Daily,110405,,,,,,
Celestia,11,Cilinix Crypto,144760,,,,,,
Celestia,11,Cryptocito | Daily Cosmos & Crypto News  ⚛️,771840,,,,,,
Celestia,11,CryptoEnglish,279100,,,,,,
Celestia,11,CryptoTelugu,250550,,,,,,
Optimism,11,Crypto Banter,3856670,,,,,,
Optimism,11,Knightron Crypto,183260,,,,,,
Polyhedra,11,earn with Shaour,79920,,,,,,
Polyhedra,11,The Brown Gent,379620,,,,,,
Starknet,11,Crypto with Lorenzo,487070,,,,,,
Starknet,11,Kali Crypto,265080,,,,,,
Taiko,11,Crypto Tech,11760,,,,,,
Taiko,11,CrystCake,491040,,,,,,
ZKSync,11,Airdrop channel,547950,,,,,,
ZKSync,11,Amauri  Crypto,43890,,,,,,
ZKSync,11,BayKripto,82040,,,,,,
ZKSync,11,Buziness 3.0,11100,,,,,,
ZKSync,11,Coin Metrika,1389020,,,,,,
ZKSync,11,Collective Shift,101930,,,,,,
ZKSync,11,CRIPTO COIN,78630,,,,,,
ZKSync,11,Crypto Filipino,53760,,,,,,
ZKSync,11,Crypto Finance,73960,,,,,,
ZKSync,11,Crypto Guruji,209880,,,,,,
ZKSync,11,Crypto Hustle,392440,,,,,,
ZKSync,11,Crypto Loot,65620,,,,,,
ZKSync,11,Crypto News,47770,,,,,,
ZKSync,11,Crypto Position,14690,,,,,,
ZKSync,11,Crypto_nfts,221560,,,,,,
ZKSync,11,CRYPTOGIC,54020,,,,,,
ZKSync,11,CryptoIND,107080,,,,,,
ZKSync,11,CRYPTOKOM,118740,,,,,,
ZKSync,11,DeFi Talks,253390,,,,,,
ZKSync,11,Earn Hridoy,24120,,,,,,
ZKSync,11,Everlex Airdrop,77640,,,,,,
ZKSync,11,Fraternidade Crypto,156960,,,,,,
ZKSync,11,IKMANIOFFICIAL,75170,,,,,,
ZKSync,11,Infinite Bid,105060,,,,,,
ZKSync,11,Inside Crypto,770880,,,,,,
ZKSync,11,Inversor Inteligente,123600,,,,,,
ZKSync,11,Kelas Kripto Cepod,350790,,,,,,
ZKSync,11,KTTC Group,32260,,,,,,
ZKSync,11,Liga Crypto,234930,,,,,,
ZKSync,11,NKBhat Tech Studio,40360,,,,,,
ZKSync,11,Oisu TV,59310,,,,,,
ZKSync,11,Online Earning,36550,,,,,,
ZKSync,11,Online Income,120850,,,,,,
ZKSync,11,Orlando on Crypto,1340480,,,,,,
ZKSync,11,Os Guri das Cripto,119210,,,,,,
ZKSync,11,𝙾𝚢𝚘𝚗 𝚘𝚏𝚏𝚒𝚌𝚒𝚊𝚕,13450,,,,,,
ZKSync,11,TECHANICAL CHARAN,396450,,,,,,
ZKSync,11,The Techie Boy,31890,,,,,,
ZKSync,11,Tiểu Sư Phụ Official,133600,,,,,,
ZKSync,11,Whale Finance®,191330,,,,,,
ZKSync,11,КРИПТО ЗОМБИ,175120,,,,,,
ZKSync,11,Миллион На Эйрдропах,1006320,,,,,,
ZKSync,11,СЕКРЕТИ ІНВЕСТОРА | КРИПТА,311350,,,,,,
ZKSync,11,Славик Инвестор,1992330,,,,,,
ZKSync,11,ТРУ ПРО КРИПТУ,55210,,,,,,
Arbitrum,10,Game of Bitcoins | गेम ऑफ़ बिटकॉइंस,99340,,,,,,
Arbitrum,10,Indian Crypto Official🇮🇳,29468,,,,,,
Celestia,10,Bustaaal,109810,,,,,,
Celestia,10,El Toque de Midas crypto,127080,,,,,,
Optimism,10,CoinGecko,3731250,,,,,,
Optimism,10,Crypto Empire,393230,,,,,,
Optimism,10,Crypto Kamaal,75520,,,,,,
Optimism,10,CryptoEnglish,218750,,,,,,
Optimism,10,The Daily Gwei,392700,,,,,,
Polyhedra,10,Bustaaal,100680,,,,,,
Starknet,10,BOSS OFFICIAL,30470,,,,,,
Starknet,10,Crypto Point live,82570,,,,,,
Starknet,10,Crypto Soch,54110,,,,,,
Starknet,10,Nurstar,15220,,,,,,
Starknet,10,Os Guri das Cripto,66930,,,,,,
Starknet,10,Whale3,43310,,,,,,
Taiko,10,Airdrop Insider,66940,,,,,,
ZKSync,10,Airdrop Guider,19290,,,,,,
ZKSync,10,AirDrops UpDate,100120,,,,,,
ZKSync,10,Blum - 2024,41120,,,,,,
ZKSync,10,Confassj,62340,,,,,,
